LLD_0,LLD_1,LLD_2,LLD_3,LLD_4,LLD_5,LLD_6,LLD_7,LLD_8,LLD_9,LLD_10,LLD_11,LLD_12,LLD_13,LLD_14,LLD_15,LLD_16,LLD_17,LLD_18,LLD_19,LLD_20,LLD_21,LLD_22,LLD_23,LLD_24,LLD_25,LLD_26,LLD_27,LLD_28,LLD_29,LLD_30,LLD_31,LLD_32,LLD_33,LLD_34,LLD_35,LLD_36,LLD_37,LLD_38,LLD_39,LLD_40,LLD_41,LLD_42,LLD_43,LLD_44,LLD_45,LLD_46,LLD_47,LLD_48,LLD_49,LLD_50,LLD_51,LLD_52,LLD_53,LLD_54,LLD_55,LLD_56,LLD_57,LLD_58,LLD_59,LLD_60,LLD_61,LLD_62,LLD_63,LLD_64
0.0,0.0008971039205789566,0.7690346240997314,0.2910217,0.04334365,0.09863615036010742,0.1360359489917755,0.2672145962715149,0.09559451788663864,0.1202667,0.2137516,0.09010814875364304,0.7912837,0.6966893,0.15965838730335236,1.398003,5.068167,0.195,0.79,0.04,0.2369494,0.3188854,0.07739938,0.02167183,0.013710158877074718,0.4906832,0.53660649061203,0.0002304772,-1.958903193473816,0.6473736,0.2833692,-0.2537675,0.05896642,1.600492,0.2910217,0.3281734,0.8774513,0.9887422919273376,1.149341,0.1027462,0.23080673813819885,0.3753318190574646,0.6821449,2.112002,1.429857,0.3031786,1.676381,9.546384811401367,0.123125,0.56,0.04,0.1559477150440216,0.2646998167037964,0.1083591,0.04334365,0.01547988,0.4751553,0.5294225811958313,0.00810074,-1.265454,0.1270503,0.1175561,-0.004151530563831329,-0.04644397,0.04182591
0.0,0.001102249138057232,0.005220092833042145,0.0,0.0,-0.00013262801803648472,-0.00012429547496140003,-0.00026145949959754944,0.001186080276966095,0.0,0.0,0.0001127142459154129,0.0,0.0,-0.0019825054332613945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009077107533812523,0.0,-0.00011005252599716187,0.0,0.0034826453775167465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037203915417194366,0.0,0.0,-0.00013887695968151093,0.0006171688437461853,0.0,0.0,0.0,0.0,0.0,0.10170242935419083,0.0,0.0,0.0,-0.000987126724794507,-0.0017935214564204216,0.0,0.0,0.0,0.0,7.135747000575066e-05,0.0,0.0,0.0,0.0,-4.62457537651062e-05,0.0,0.0
0.0,0.0011392789892852306,0.0025268252938985825,0.0,0.0,-0.0006524980999529362,0.00015085493214428425,-0.0003914693370461464,0.0011347588151693344,0.0,0.0,0.0001237783581018448,0.0,0.0,-0.0013851197436451912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008310703560709953,0.0,-3.4769997000694275e-05,0.0,0.0008041756227612495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.397603571414948e-05,0.0,0.0,0.00014185626059770584,0.00011184252798557281,0.0,0.0,0.0,0.0,0.0,0.08071107417345047,0.0,0.0,0.0,0.0003253642935305834,-0.0007089334540069103,0.0,0.0,0.0,0.0,2.8932932764291763e-05,0.0,0.0,0.0,0.0,-0.000492192804813385,0.0,0.0
0.0,0.001214579213410616,0.0010306332260370255,0.0,0.0,-0.0001208276953548193,7.636030204594135e-05,-0.0003128238022327423,0.0008271206170320511,0.0,0.0,6.706081330776215e-05,0.0,0.0,-0.0007750475779175758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005453387275338173,0.0,3.419816493988037e-05,0.0,-0.0001798570156097412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015383586287498474,0.0,0.0,0.000157852191478014,0.00021091662347316742,0.0,0.0,0.0,0.0,0.0,0.060105957090854645,0.0,0.0,0.0,6.36798795312643e-05,-0.0005474272184073925,0.0,0.0,0.0,0.0,0.0002277330495417118,0.0,0.0,0.0,0.0,-0.0004362650215625763,0.0,0.0
0.0,0.0012487559579312801,0.0007337369024753571,0.0,0.0,-8.723139762878418e-05,-5.435338243842125e-05,-0.0002021314576268196,0.0003455057740211487,0.0,0.0,8.648261427879333e-06,0.0,0.0,-0.0003212718293070793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014895573258399963,0.0,0.00010826624929904938,0.0,-6.656255573034286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001871604472398758,0.0,0.0,2.202484756708145e-05,0.0003492869436740875,0.0,0.0,0.0,0.0,0.0,0.04686591774225235,0.0,0.0,0.0,-4.5794527977705e-05,-0.0003178603947162628,0.0,0.0,0.0,0.0,-0.00018961122259497643,0.0,0.0,0.0,0.0,-0.000352710485458374,0.0,0.0
0.0,0.0012449710629880428,0.0006818082183599472,0.0,0.0,-4.1152117773890495e-05,-6.819376721978188e-05,-0.0001654764637351036,9.968876838684082e-05,0.0,0.0,5.933642387390137e-05,0.0,0.0,-9.11075621843338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017882604151964188,0.0,0.00011835247278213501,0.0,0.0002833097241818905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000139603391289711,0.0,0.0,3.269501030445099e-05,0.0003525037318468094,0.0,0.0,0.0,0.0,0.0,0.03620598465204239,0.0,0.0,0.0,-2.607353962957859e-05,-0.0003429241478443146,0.0,0.0,0.0,0.0,-0.00014586234465241432,0.0,0.0,0.0,0.0,-9.943544864654541e-05,0.0,0.0
0.0,0.0012300708331167698,0.0006248783320188522,0.0,0.0,5.416572093963623e-06,-4.716822877526283e-05,-0.00016569066792726517,3.113783895969391e-05,0.0,0.0,0.00011422112584114075,0.0,0.0,-1.4758668839931488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003910856321454048,0.0,9.914115071296692e-05,0.0,0.0004039304330945015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010984018445014954,0.0,0.0,-8.311169221997261e-05,0.00028178468346595764,0.0,0.0,0.0,0.0,0.0,0.02860746532678604,0.0,0.0,0.0,-4.504295065999031e-05,-0.00031800754368305206,0.0,0.0,0.0,0.0,-6.636092439293861e-05,0.0,0.0,0.0,0.0,-7.022544741630554e-05,0.0,0.0
0.0,0.0012197052128612995,0.0005835462361574173,0.0,0.0,4.7700246796011925e-05,-4.02738805860281e-05,-0.00017709191888570786,1.5741214156150818e-05,0.0,0.0,0.00013514235615730286,0.0,0.0,-3.5455450415611267e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005108360201120377,0.0,6.967037916183472e-05,0.0,0.00039464887231588364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.969063103199005e-05,0.0,0.0,-0.00011230446398258209,0.00030489079654216766,0.0,0.0,0.0,0.0,0.0,0.023430682718753815,0.0,0.0,0.0,-3.872881643474102e-05,-0.0002969074994325638,0.0,0.0,0.0,0.0,-2.681417390704155e-05,0.0,0.0,0.0,0.0,-6.077811121940613e-05,0.0,0.0
0.0,0.0012170551344752312,0.0005659591406583786,0.0,0.0,8.270773105323315e-05,-4.368368536233902e-05,-0.00018617045134305954,8.685514330863953e-06,0.0,0.0,0.00013204477727413177,0.0,0.0,-6.2193721532821655e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005733119323849678,0.0,4.367902874946594e-05,0.0,0.0003733765333890915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.599514305591583e-05,0.0,0.0,-8.976226672530174e-05,0.0003480520099401474,0.0,0.0,0.0,0.0,0.0,0.020216651260852814,0.0,0.0,0.0,-2.136174589395523e-05,-0.00029218802228569984,0.0,0.0,0.0,0.0,-6.415415555238724e-06,0.0,0.0,0.0,0.0,-5.6531280279159546e-05,0.0,0.0
0.0,0.0012196660973131657,0.000558800995349884,0.0,0.0,0.00010600476525723934,-4.798197187483311e-05,-0.00018958467990159988,3.0491501092910767e-06,0.0,0.0,0.00012095458805561066,0.0,0.0,-5.401670932769775e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006050132215023041,0.0,2.668052911758423e-05,0.0,0.0003659939393401146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.361281991004944e-05,0.0,0.0,-6.75516203045845e-05,0.0003693345934152603,0.0,0.0,0.0,0.0,0.0,0.018438465893268585,0.0,0.0,0.0,-7.37607479095459e-06,-0.0002904650755226612,0.0,0.0,0.0,0.0,4.211906343698502e-06,0.0,0.0,0.0,0.0,-5.266629159450531e-05,0.0,0.0
