LLD_0,LLD_1,LLD_2,LLD_3,LLD_4,LLD_5,LLD_6,LLD_7,LLD_8,LLD_9,LLD_10,LLD_11,LLD_12,LLD_13,LLD_14,LLD_15,LLD_16,LLD_17,LLD_18,LLD_19,LLD_20,LLD_21,LLD_22,LLD_23,LLD_24,LLD_25,LLD_26,LLD_27,LLD_28,LLD_29,LLD_30,LLD_31,LLD_32,LLD_33,LLD_34,LLD_35,LLD_36,LLD_37,LLD_38,LLD_39,LLD_40,LLD_41,LLD_42,LLD_43,LLD_44,LLD_45,LLD_46,LLD_47,LLD_48,LLD_49,LLD_50,LLD_51,LLD_52,LLD_53,LLD_54,LLD_55,LLD_56,LLD_57,LLD_58,LLD_59,LLD_60,LLD_61,LLD_62,LLD_63,LLD_64
0.0,0.0008971039205789566,0.33096522092819214,0.4585153,0.05240175,0.10044309496879578,0.10538528859615326,0.22028973698616028,0.02611948736011982,0.1187279,0.1471102,0.09354104846715927,0.4202276,0.3156954,0.08685402572154999,0.8952831,2.688263,0.2025,0.61,0.06,0.1664895,0.419214,0.2314411,0.06550218,0.017954129725694656,0.495614,0.519976019859314,0.0002575931,-1.7640299797058105,0.3562818,0.2185464,-0.1050472,-0.03047281,1.117179,0.3275109,0.5982533,0.875946,0.9897829294204712,1.185748,0.1093507,0.25272491574287415,0.39908289909362793,0.6679165,1.592894,0.9249775,0.2465584,0.6945062,6.8142781257629395,0.1047368,0.5,0.03,0.15526972711086273,0.4281172454357147,0.2620087,0.1004367,0.008733625,0.508772,0.5051649212837219,0.01050252,-1.214984,0.133129,0.1023051,-0.022830374538898468,-0.04690368,0.02450248
0.0,0.001102249138057232,0.0031777340918779373,0.0,0.0,-0.00018970179371535778,-0.00010800757445394993,-0.00022032391279935837,0.0015953052788972855,0.0,0.0,-6.128102540969849e-07,0.0,0.0,-0.0022434121929109097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008849464356899261,0.0,7.897242903709412e-05,0.0,0.0038691372610628605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003381539136171341,0.0,0.0,-0.00025026313960552216,0.00039160437881946564,0.0,0.0,0.0,0.0,0.0,0.02204606682062149,0.0,0.0,0.0,-0.000985906459391117,-0.00047811446711421013,0.0,0.0,0.0,0.0,0.00031320424750447273,0.0,0.0,0.0,0.0,4.667788743972778e-05,0.0,0.0
0.0,0.0011392789892852306,0.0017887484282255173,0.0,0.0,-0.0005591721273958683,6.689387373626232e-05,-0.0004142383113503456,0.0012808907777071,0.0,0.0,0.00014223530888557434,0.0,0.0,-0.0015877997502684593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009209169074892998,0.0,-1.0613352060317993e-05,0.0,4.1833147406578064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012888014316558838,0.0,0.0,0.00022373301908373833,0.00013226084411144257,0.0,0.0,0.0,0.0,0.0,0.04053569585084915,0.0,0.0,0.0,0.00032690842635929585,-0.0018131532706320286,0.0,0.0,0.0,0.0,4.870397970080376e-05,0.0,0.0,0.0,0.0,-0.0004949718713760376,0.0,0.0
0.0,0.001214579213410616,0.0007708407938480377,0.0,0.0,-9.802007116377354e-05,8.672871626913548e-05,-0.0003241244703531265,0.0008879285305738449,0.0,0.0,0.00010930001735687256,0.0,0.0,-0.0009141089394688606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006106384098529816,0.0,5.570799112319946e-05,0.0,-0.0003244830295443535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001643560826778412,0.0,0.0,0.00017052516341209412,0.00022834725677967072,0.0,0.0,0.0,0.0,0.0,0.038011230528354645,0.0,0.0,0.0,6.305845454335213e-05,-0.001050975639373064,0.0,0.0,0.0,0.0,0.0003511565737426281,0.0,0.0,0.0,0.0,-0.00043913349509239197,0.0,0.0
0.0,0.0012487559579312801,0.000642022117972374,0.0,0.0,-6.836839020252228e-05,-8.645094931125641e-05,-0.0002114390954375267,0.0003416072577238083,0.0,0.0,4.195794463157654e-05,0.0,0.0,-0.0003880281001329422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018229614943265915,0.0,-0.00011535733938217163,0.0,-0.00010262196883559227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017094798386096954,0.0,0.0,1.1091120541095734e-05,0.00032796524465084076,0.0,0.0,0.0,0.0,0.0,0.0350177064538002,0.0,0.0,0.0,-4.542386159300804e-05,-0.00017833802849054337,0.0,0.0,0.0,0.0,-0.00032187672331929207,0.0,0.0,0.0,0.0,-0.0003088023513555527,0.0,0.0
0.0,0.0012449710629880428,0.0006519127637147903,0.0,0.0,-3.118650056421757e-05,-9.398534893989563e-05,-0.00017106439918279648,9.264238178730011e-05,0.0,0.0,6.822310388088226e-05,0.0,0.0,-0.00011656712740659714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016369391232728958,0.0,-8.567981421947479e-05,0.0,0.00020699109882116318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012701936066150665,0.0,0.0,2.2495631128549576e-05,0.0003460608422756195,0.0,0.0,0.0,0.0,0.0,0.02929217368364334,0.0,0.0,0.0,-2.5854911655187607e-05,-0.0002502491697669029,0.0,0.0,0.0,0.0,-0.0002566990442574024,0.0,0.0,0.0,0.0,-0.00010564550757408142,0.0,0.0
0.0,0.0012300708331167698,0.0006184838712215424,0.0,0.0,1.22804194688797e-05,-5.966168828308582e-05,-0.00016993563622236252,3.239139914512634e-05,0.0,0.0,0.00011007115244865417,0.0,0.0,-2.264324575662613e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038398709148168564,0.0,-5.1369890570640564e-05,0.0,0.00034106429666280746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010131858289241791,0.0,0.0,-7.12396577000618e-05,0.0002970900386571884,0.0,0.0,0.0,0.0,0.0,0.02411661297082901,0.0,0.0,0.0,-4.5433640480041504e-05,-0.00014556944370269775,0.0,0.0,0.0,0.0,-0.0001362278126180172,0.0,0.0,0.0,0.0,-7.659196853637695e-05,0.0,0.0
0.0,0.0012197052128612995,0.0005844216793775558,0.0,0.0,5.303998477756977e-05,-4.8167770728468895e-05,-0.00018101371824741364,2.0528212189674377e-05,0.0,0.0,0.000128304585814476,0.0,0.0,-5.279667675495148e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005068676546216011,0.0,-3.93986701965332e-05,0.0,0.00037877168506383896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.177438914775848e-05,0.0,0.0,-9.643472731113434e-05,0.00031853653490543365,0.0,0.0,0.0,0.0,0.0,0.020307041704654694,0.0,0.0,0.0,-3.9259204640984535e-05,-0.00014089327305555344,0.0,0.0,0.0,0.0,-7.755262777209282e-05,0.0,0.0,0.0,0.0,-6.460025906562805e-05,0.0,0.0
0.0,0.0012170551344752312,0.0005680005997419357,0.0,0.0,8.643767796456814e-05,-5.121366120874882e-05,-0.00018957816064357758,1.3580545783042908e-05,0.0,0.0,0.00012694112956523895,0.0,0.0,-6.159767508506775e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005705999210476875,0.0,-3.281794488430023e-05,0.0,0.0004024337977170944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.768588304519653e-05,0.0,0.0,-7.952749729156494e-05,0.00035327114164829254,0.0,0.0,0.0,0.0,0.0,0.017885275185108185,0.0,0.0,0.0,-2.1771294996142387e-05,-0.0002038823440670967,0.0,0.0,0.0,0.0,-4.585878923535347e-05,0.0,0.0,0.0,0.0,-5.8105215430259705e-05,0.0,0.0
0.0,0.0012196660973131657,0.0005603916943073273,0.0,0.0,0.00010844762437045574,-5.549308843910694e-05,-0.00019223522394895554,7.117167115211487e-06,0.0,0.0,0.00011838041245937347,0.0,0.0,-4.926696419715881e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00060296431183815,0.0,-2.5775283575057983e-05,0.0,0.0004226919263601303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.546561002731323e-05,0.0,0.0,-6.254762411117554e-05,0.0003692265599966049,0.0,0.0,0.0,0.0,0.0,0.01651490479707718,0.0,0.0,0.0,-7.633818313479424e-06,-0.0002459818497300148,0.0,0.0,0.0,0.0,-2.7336645871400833e-05,0.0,0.0,0.0,0.0,-5.3144991397857666e-05,0.0,0.0
