LLD_Index,Dominance,Performance_Rank,Drop,Robustness_Rank,Joint_Rank
14,0.1360445320606231,5,0.004892319440841619,10,15
62,0.0363727957010269,14,0.005183702334761703,11,25
41,0.0291832946240901,19,0.0021667145192623,6,25
4,0.0046736877411603,34,0.0005002147518098996,2,36
44,0.0640529841184616,10,0.013315804302692497,30,40
1,-1.954931713472191e-15,41,3.2341445873381586e-14,0,41
46,0.0091825472190976,29,0.006035553757101301,13,42
47,0.0495114549994468,12,0.013564635068178198,32,44
26,0.0094504486769437,28,0.007596431765705299,17,45
37,-9.155886800726876e-06,42,0.001199650982016427,4,46
11,0.0073671340942382,30,0.0070200582849793,16,46
57,0.0072194482199847,31,0.006954692682484101,15,46
22,0.0277657881379127,21,0.011459421366453202,26,47
12,0.0876018926501274,9,0.0183546915650368,38,47
40,0.0282895844429731,20,0.012121969833970101,28,48
28,0.0229899324476718,22,0.0119109284132719,27,49
48,0.0007061281939968,38,0.0062039803015068,14,52
16,-0.0019480566261336,49,0.0006356327794492999,3,52
51,-0.0013179295929148,47,0.0032943872502071998,8,55
58,0.032974574714899,15,0.0208720713853836,41,56
24,0.0005940279806964,39,0.007808964990545,18,57
25,-0.0031263784039765,52,0.002045463072136,5,57
7,0.2554580271244049,1,0.11450657248497012,57,58
31,0.0296892244368791,17,0.0215923171490431,42,59
27,0.0439435355365276,13,0.0381305473856628,48,61
23,0.0154558243229985,26,0.0160599938826635,36,62
52,-0.0046310722827911,53,0.0047099027069634385,9,62
42,-0.0127854878082871,61,0.00044133327901359903,1,62
63,-0.0007625923608429,43,0.008699185855221,19,62
5,0.1229162886738777,8,0.0939902216196061,55,63
60,0.0609847195446491,11,0.060867410153150496,53,64
64,0.0199507530778646,24,0.0203224774450064,40,64
10,0.4042819142341614,0,0.3496959917247296,64,64
8,0.2139751613140106,4,0.16209864616394049,60,64
9,0.1230697035789489,7,0.1175770978443324,58,65
13,0.2311703860759735,3,0.20959911122918132,62,65
2,0.2482843250036239,2,0.22508859820663932,63,65
6,0.130182072520256,6,0.13262112461961797,59,65
3,-0.0062784440815448,54,0.005783638160210099,12,66
18,-0.0122446464374661,60,0.0027588773518800996,7,67
33,0.0292762033641338,18,0.055356178432703,50,68
50,-0.0014057020889595,48,0.009929075022228,21,69
55,-0.002133839065209,50,0.0089952077250928,20,70
30,0.0027593739796429,36,0.014369836775585999,35,71
65,-0.001029031118378,46,0.0113709757570177,25,71
61,0.0301923509687185,16,0.101560989394784,56,72
35,0.0002642178733367,40,0.0142675612296443,34,74
45,0.0224291160702705,23,0.0589108616113663,52,75
38,0.0011645723134279,37,0.0187086444348097,39,76
15,-0.0009369312901981,45,0.0133915838669054,31,76
56,-0.0008380061481148,44,0.014192350907251199,33,77
29,0.015842281281948,25,0.0895543694496155,54,79
59,0.0031414537224918,35,0.0316685528960079,45,80
19,-0.010857461951673,58,0.010068712814245399,23,81
21,-0.0088806077837944,57,0.010719148558564399,24,81
39,0.0063274931162595,32,0.0544282551854849,49,81
43,0.0053387773223221,33,0.057802963536232696,51,84
53,-0.0347835682332515,63,0.0100645273923874,22,85
32,0.0122289443388581,27,0.1952048009261489,61,88
36,-0.0238140206784009,62,0.0125760976225137,29,91
34,-0.0076530873775482,56,0.0177071709185838,37,93
49,-0.002885065972805,51,0.0329244546592235,46,97
17,-0.0076150079257786,55,0.026412967126816497,43,98
54,-0.0116471545770764,59,0.031123622320592396,44,103
20,-0.0568576678633689,64,0.035016722977161394,47,111
